# 特殊字元 / 清理報表 — 海岸阿美語 (dialectId=3, lang_code=ami-coastal)
# 統計
{
  "total_xml": 1094,
  "valid": 1094,
  "skipped_placeholder": 0,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 299,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1094,
  "apostrophe_words": 262,
  "slash_words": 161,
  "caret_words": 3,
  "special_chars": {
    "ʼ": 193,
    "/": 161,
    "’": 69,
    "^": 3,
    ":": 3,
    ")": 2,
    "數": 2,
    "(": 2,
    "物": 1,
    "人": 1,
    "…": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 15-12	篩穀器具	'sasiwasiw/hatapes'	正式拼寫特殊字:/
[FORMAL] 15-14	稻草	'ʼasisiw'	正式拼寫特殊字:ʼ
[FORMAL] 16-01	弓	'focol/pana’'	正式拼寫特殊字:/’
[FORMAL] 16-02	矛	'ʼidoc'	正式拼寫特殊字:ʼ
[FORMAL] 16-03	箭	'panaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 16-04	餌	'sapaririʼ'	正式拼寫特殊字:ʼ
[FORMAL] 16-08	獵獲物(統稱)	'tama’'	正式拼寫特殊字:’
[FORMAL] 16-09	石壓式陷阱	'tekep/talakal'	正式拼寫特殊字:/
[FORMAL] 16-10	套頸式繩索陷阱	'wa’il'	正式拼寫特殊字:’
[FORMAL] 16-11	籃子	'takoyodan/kanas'	正式拼寫特殊字:/
[FORMAL] 16-12	捕鳥陷阱	'fihkac/talakal'	正式拼寫特殊字:/
[FORMAL] 17-03	巫術	'sair/salisin'	正式拼寫特殊字:/
[FORMAL] 17-05	祖靈祭	'militapod/pipatafangan'	正式拼寫特殊字:/
[FORMAL] 17-08	法器(巫醫治病用)	'sapiʼedaw'	正式拼寫特殊字:ʼ
[FORMAL] 18-02	衣服	'rikoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 18-04	肚兜	'paʼayaw'	正式拼寫特殊字:ʼ
[FORMAL] 18-18	妝扮飾物	'saʼeres'	正式拼寫特殊字:ʼ
[FORMAL] 18-19	傳統女上衣	'kiping/kipang'	正式拼寫特殊字:/
[FORMAL] 18-27	擋胸巾	'piʼayaw'	正式拼寫特殊字:ʼ
[FORMAL] 18-28	袖子	'caʼedongan'	正式拼寫特殊字:ʼ
[FORMAL] 18-29	上衣	'riko’'	正式拼寫特殊字:’
[FORMAL] 18-32	刮苧麻	'mikelet/kiskis'	正式拼寫特殊字:/
[FORMAL] 20-05	船	'lonan/tamina'	正式拼寫特殊字:/
[FORMAL] 20-07	火車	'cinamalay/kasoling'	正式拼寫特殊字:/
[FORMAL] 21-07	鹽	'cilah/cinah'	正式拼寫特殊字:/
[FORMAL] 21-08	(蜂)蜜	'odax/waneng'	正式拼寫特殊字:/
[FORMAL] 21-09	蛋	'fitaʼol'	正式拼寫特殊字:ʼ
[FORMAL] 21-11	味道(吃)	'’aredet'	正式拼寫特殊字:’
[FORMAL] 21-13	豆類	'raraʼ'	正式拼寫特殊字:ʼ
[FORMAL] 21-15	穀粒	'ʼasad'	正式拼寫特殊字:ʼ
[FORMAL] 21-16	糯米	'falinono/doway'	正式拼寫特殊字:/
[FORMAL] 21-17	粥	'holo/’a’am'	正式拼寫特殊字:/’
[FORMAL] 21-19	糖	'waneng/’odax'	正式拼寫特殊字:/’
[FORMAL] 21-21	麵	'walay/towami'	正式拼寫特殊字:/
[FORMAL] 21-22	醬油	'tawʼiw'	正式拼寫特殊字:ʼ
[FORMAL] 22-04	紫色的	'maloloay/koetimay'	正式拼寫特殊字:/
[FORMAL] 23-01	狗吠聲	'ʼawʼaw'	正式拼寫特殊字:ʼ
[FORMAL] 24-01	聽說	'katengilan/matengilay'	正式拼寫特殊字:/
[FORMAL] 24-04	部落	'niyaroʼ'	正式拼寫特殊字:ʼ
[FORMAL] 24-05	日子	'romi’ad/’orip'	正式拼寫特殊字:/’
[FORMAL] 24-06	是的	'hai/hay'	正式拼寫特殊字:/
[FORMAL] 24-08	力量	'ʼicel'	正式拼寫特殊字:ʼ
[FORMAL] 24-11	重要的	'tadamaanay/sakaletengay'	正式拼寫特殊字:/
[FORMAL] 24-12	結婚	'pataloma’/paka’etim'	正式拼寫特殊字:/’
[FORMAL] 24-13	各色各樣	'kasasiromaroma/kahirahira'	正式拼寫特殊字:/
[FORMAL] 24-14	價格	'ʼaca'	正式拼寫特殊字:ʼ
[FORMAL] 24-15	用途	'kalomaan/malo'	正式拼寫特殊字:/
[FORMAL] 25-02	賣	'pa’aca / paliwal'	正式拼寫特殊字:/’
[FORMAL] 25-06	買	'miʼaca'	正式拼寫特殊字:ʼ
[FORMAL] 25-14	抵達	'tangasa/tahira'	正式拼寫特殊字:/
[FORMAL] 25-22	(植物)生長	'molahad/marengaw'	正式拼寫特殊字:/
[FORMAL] 25-24	贈送(禮物)	'pasinofo/patelong'	正式拼寫特殊字:/
[FORMAL] 25-26	(植物的果實)掉落	'mafonor/rasras'	正式拼寫特殊字:/
[FORMAL] 25-28	接(人)	'litemoh/cada'	正式拼寫特殊字:/
[FORMAL] 25-30	向人家要(東西)	'miladaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 25-31	倒(水)	'seni’/taktak'	正式拼寫特殊字:/’
[FORMAL] 25-35	追	'laop/milepel'	正式拼寫特殊字:/
[FORMAL] 25-40	穿(如穿衣服)	'caʼedong'	正式拼寫特殊字:ʼ
[FORMAL] 25-43	坐著	'maroʼ'	正式拼寫特殊字:ʼ
[FORMAL] 25-45	關(門；窗)	'’edef'	正式拼寫特殊字:’
[FORMAL] 25-51	拜訪	'milisoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-01	跳躍	'mitakod/teloc'	正式拼寫特殊字:/
[FORMAL] 26-03	坐下	'maroʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-05	掛	'caʼit'	正式拼寫特殊字:ʼ
[FORMAL] 26-08	打(人)	'patepih/seti’'	正式拼寫特殊字:/’
[FORMAL] 26-13	推	'cikeroh/cekeroh'	正式拼寫特殊字:/
