# 特殊字元 / 清理報表 — 萬山魯凱語 (dialectId=32, lang_code=dru-mantauran)
# 統計
{
  "total_xml": 1094,
  "valid": 1092,
  "skipped_placeholder": 2,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 297,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1092,
  "apostrophe_words": 429,
  "slash_words": 4,
  "caret_words": 0,
  "special_chars": {
    "ʼ": 401,
    "’": 24,
    ")": 12,
    "(": 12,
    "'": 6,
    "/": 4,
    "-": 4,
    ";": 2,
    "?": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 09-19	篩子	'ʼavelre'	正式拼寫特殊字:ʼ
[FORMAL] 09-20	小刀	'akoʼedhe'	正式拼寫特殊字:ʼ
[FORMAL] 09-28	蓋子	'ʼakohovohovongo'	正式拼寫特殊字:ʼ
[FORMAL] 09-29	(竹製的)刮麻具	'ʼakoʼikoʼidhi'	正式拼寫特殊字:ʼ
[FORMAL] 09-34	網子	'ʼasiyo'	正式拼寫特殊字:ʼ
[FORMAL] 09-36	鋸子	'ʼahisihisihisi'	正式拼寫特殊字:ʼ
[FORMAL] 09-38	杯子	'ʼaongoʼongolo'	正式拼寫特殊字:ʼ
[FORMAL] 09-39	釣具	'ʼalrakilrakisi'	正式拼寫特殊字:ʼ
[FORMAL] 09-41	鍋鏟	'ʼahingihingihingi'	正式拼寫特殊字:ʼ
[FORMAL] 09-43	夾子	'ʼakapikapici'	正式拼寫特殊字:ʼ
[FORMAL] 09-44	床舖	'ta’ape’apecae'	正式拼寫特殊字:’
[FORMAL] 09-45	梗	'ʼano'	正式拼寫特殊字:ʼ
[FORMAL] 09-47	工具	'ʼahakiki'	正式拼寫特殊字:ʼ
[FORMAL] 09-55	濾酒渣網	'ʼavelre'	正式拼寫特殊字:ʼ
[FORMAL] 09-58	扇子	'ʼavidhividhividhi'	正式拼寫特殊字:ʼ
[FORMAL] 09-59	湯鍋	'totapaʼilralranae'	正式拼寫特殊字:ʼ
[FORMAL] 09-60	水瓢(舀水用)	'ʼakaʼokaʼo'	正式拼寫特殊字:ʼ
[FORMAL] 09-64	枕頭	'taʼele'	正式拼寫特殊字:ʼ
[FORMAL] 09-65	鐵鎚	'ʼakongokongokongo'	正式拼寫特殊字:ʼ
[FORMAL] 09-66	鐵釘	'ʼacengacengaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 09-67	卡在牙縫之物	'mocingaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 09-68	菜刀	'akoʼedhe'	正式拼寫特殊字:ʼ
[FORMAL] 09-69	魚網	"'asio"	正式拼寫特殊字:'
[FORMAL] 09-70	橡皮擦	'ʼacocaocao'	正式拼寫特殊字:ʼ
[FORMAL] 10-01	道路	'valrevalreʼae'	正式拼寫特殊字:ʼ
[FORMAL] 10-04	風	'veʼeveʼe'	正式拼寫特殊字:ʼ
[FORMAL] 10-06	泥土	'dhaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 10-09	森林	'ngao’atoe'	正式拼寫特殊字:’
[FORMAL] 10-13	土堆	'taidhomolo dha’e'	正式拼寫特殊字:’
[FORMAL] 10-15	草原	'ʼolraae'	正式拼寫特殊字:ʼ
[FORMAL] 10-16	溫泉	'malrapalrapaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 10-20	瀑布	'talavaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 11-01	下雨	'odhaʼolo'	正式拼寫特殊字:ʼ
[FORMAL] 11-02	太陽	'koliʼi'	正式拼寫特殊字:ʼ
[FORMAL] 11-06	雨	'dhaʼolo'	正式拼寫特殊字:ʼ
[FORMAL] 11-07	雪	'ʼola'	正式拼寫特殊字:ʼ
[FORMAL] 11-09	夏天	'kalalrapaʼae'	正式拼寫特殊字:ʼ
[FORMAL] 11-11	露水	'kolamoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 11-12	雲	'kemeʼe'	正式拼寫特殊字:ʼ
[FORMAL] 11-22	霜	'ʼola'	正式拼寫特殊字:ʼ
[FORMAL] 11-26	海邊	'tavilaʼe valro'	正式拼寫特殊字:ʼ
[FORMAL] 11-28	彩虹	'saliyaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 11-29	日落	'ovalrilo koliʼi'	正式拼寫特殊字:ʼ
[FORMAL] 11-31	雨停	'maʼahao'	正式拼寫特殊字:ʼ
[FORMAL] 11-33	日出	'oseʼe koliʼi'	正式拼寫特殊字:ʼ
[FORMAL] 12-01	家	'dhaʼane'	正式拼寫特殊字:ʼ
[FORMAL] 12-02	窗戶	'taʼavangae'	正式拼寫特殊字:ʼ
[FORMAL] 12-08	工寮	'taʼonae'	正式拼寫特殊字:ʼ
[FORMAL] 12-09	廁所	'ʼotovo'	正式拼寫特殊字:ʼ
[FORMAL] 12-16	穀倉	'taʼekelae'	正式拼寫特殊字:ʼ
[FORMAL] 12-17	蓋屋頂	'ocalaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 13-03	昨天	'ʼidha'	正式拼寫特殊字:ʼ
[FORMAL] 13-04	明天	'loʼidha'	正式拼寫特殊字:ʼ
[FORMAL] 13-07	白天	'alidhaaʼe'	正式拼寫特殊字:ʼ
[FORMAL] 13-18	亮光	'lidhaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 13-20	上午	'maelre ʼaane'	正式拼寫特殊字:ʼ
[FORMAL] 13-25	下午	'ʼaane'	正式拼寫特殊字:ʼ
[MEMO?] 13-26	幾點?	'aikiengai koli’i?'	疑似備註字元:?
[FORMAL] 13-26	幾點?	'aikiengai koli’i?'	正式拼寫特殊字:’
[FORMAL] 13-30	現在	'ʼinainga'	正式拼寫特殊字:ʼ
[FORMAL] 14-01	裡面	'ʼadhingi'	正式拼寫特殊字:ʼ
[FORMAL] 14-08	旁邊	'vilaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 14-16	從某處	'ʼaliki dhona'	正式拼寫特殊字:ʼ
[FORMAL] 15-01	鋤草	'monanaʼa'	正式拼寫特殊字:ʼ
[FORMAL] 15-03	播種	'oalia’a'	正式拼寫特殊字:’
[FORMAL] 15-05	穀物乾燥蓆	'’apa’a'	正式拼寫特殊字:’
[FORMAL] 15-06	犁	'ʼapacaocaolo'	正式拼寫特殊字:ʼ
[FORMAL] 15-09	倉庫	'dhaaʼolae'	正式拼寫特殊字:ʼ
[FORMAL] 15-10	開墾	'ma’ikai'	正式拼寫特殊字:’
[FORMAL] 15-12	篩穀用具	'ʼavelre'	正式拼寫特殊字:ʼ
[FORMAL] 15-14	稻草	'paʼiisae'	正式拼寫特殊字:ʼ
[FORMAL] 16-01	弓	'voʼo'	正式拼寫特殊字:ʼ
[FORMAL] 16-02	矛	'ʼavahe'	正式拼寫特殊字:ʼ
[FORMAL] 16-06	獵刀	'ʼaalodho'	正式拼寫特殊字:ʼ
[FORMAL] 16-09	石壓式陷阱	'patotaʼene'	正式拼寫特殊字:ʼ
[FORMAL] 17-01	禁忌	'peleheʼe'	正式拼寫特殊字:ʼ
[FORMAL] 17-02	夢	'ʼipi'	正式拼寫特殊字:ʼ
[FORMAL] 17-03	巫術	'ʼolraʼolrape'	正式拼寫特殊字:ʼ
