# 特殊字元 / 清理報表 — 恆春阿美語 (dialectId=5, lang_code=ami-hengchun)
# 統計
{
  "total_xml": 1094,
  "valid": 1093,
  "skipped_placeholder": 1,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 298,
    "4": 302
  },
  "cleaned": 1,
  "with_image": 602,
  "with_audio": 1093,
  "apostrophe_words": 278,
  "slash_words": 132,
  "caret_words": 13,
  "special_chars": {
    "ʼ": 261,
    "/": 132,
    "’": 16,
    "^": 13,
    ")": 4,
    "(": 4,
    ";": 3,
    "…": 3,
    ",": 3,
    "孩": 1,
    "小": 1,
    "帶": 1,
    "\\": 1,
    "揹": 1,
    ":": 1,
    "'": 1,
    "紅": 1,
    "口": 1,
    ".": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 09-04	桌子	'^eto'	正式拼寫特殊字:^
[FORMAL] 09-07	椅子	'ʼaxnan'	正式拼寫特殊字:ʼ
[FORMAL] 09-15	繩索	'sasoʼot'	正式拼寫特殊字:ʼ
[FORMAL] 09-17	木杵	'ʼasolo'	正式拼寫特殊字:ʼ
[FORMAL] 09-18	枝條	'caʼang'	正式拼寫特殊字:ʼ
[FORMAL] 09-19	篩子	'hatapes/fitay'	正式拼寫特殊字:/
[FORMAL] 09-20	小刀	'poʼot'	正式拼寫特殊字:ʼ
[FORMAL] 09-28	蓋子	'tahaf/satahaf'	正式拼寫特殊字:/
[FORMAL] 09-40	袋子	'lofoc/tisaki'	正式拼寫特殊字:/
[FORMAL] 09-43	夾子	'ʼalapit'	正式拼寫特殊字:ʼ
[FORMAL] 09-44	床舖	'kafotiʼan'	正式拼寫特殊字:ʼ
[FORMAL] 09-45	梗	'ʼawakay'	正式拼寫特殊字:ʼ
[FORMAL] 09-49	炭灰	'ʼafadeng/ʼafo'	正式拼寫特殊字:/ʼ
[FORMAL] 09-51	湯匙	'ʼiros'	正式拼寫特殊字:ʼ
[FORMAL] 09-55	濾酒渣網	'fitay/sasaʼsaʼ'	正式拼寫特殊字:/ʼ
[MEMO?] 09-57	揹帶	'sakaos\\ safafa(揹小孩揹帶)'	疑似備註字元:()\孩小帶揹
[FORMAL] 09-60	水瓢(舀水用)	'totoʼ'	正式拼寫特殊字:ʼ
[FORMAL] 10-03	小溪	'ʼalo'	正式拼寫特殊字:ʼ
[FORMAL] 10-05	沙子	'siʼelac'	正式拼寫特殊字:ʼ
[FORMAL] 10-07	河流	'ʼalo'	正式拼寫特殊字:ʼ
[FORMAL] 10-10	縫隙	'ngalaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 10-13	土堆	'ʼapolaw'	正式拼寫特殊字:ʼ
[FORMAL] 10-14	岩洞	'ofang no ʼongcoy'	正式拼寫特殊字:ʼ
[FORMAL] 10-19	岩石	'karoh/ʼongcoy'	正式拼寫特殊字:/ʼ
[FORMAL] 11-01	下雨	'maʼorad'	正式拼寫特殊字:ʼ
[FORMAL] 11-05	星星	'foʼis'	正式拼寫特殊字:ʼ
[FORMAL] 11-06	雨	'ʼorad'	正式拼寫特殊字:ʼ
[FORMAL] 11-07	雪	'soʼeda'	正式拼寫特殊字:ʼ
[FORMAL] 11-09	夏天	'kacidalan/laloodan'	正式拼寫特殊字:/
[FORMAL] 11-11	露水	'ʼaresing'	正式拼寫特殊字:ʼ
[MEMO?] 11-12	彩雲	'ʼoʼol ; carofacof'	疑似備註字元:;
[FORMAL] 11-12	彩雲	'ʼoʼol ; carofacof'	正式拼寫特殊字:ʼ
[FORMAL] 11-14	閃電	'fitili’ / kalapiyat'	正式拼寫特殊字:/’
[FORMAL] 11-16	陰天	'matoʼem'	正式拼寫特殊字:ʼ
[FORMAL] 11-18	冰	'soʼeda/koli'	正式拼寫特殊字:/ʼ
[FORMAL] 11-19	地震	'ʼatoray'	正式拼寫特殊字:ʼ
[FORMAL] 11-20	影子	'ʼadingo'	正式拼寫特殊字:ʼ
[FORMAL] 11-23	水滴	'teraʼ'	正式拼寫特殊字:ʼ
[FORMAL] 11-24	水患	'manawnaw/macedas'	正式拼寫特殊字:/
